Index,Lat_Start,Lon_Start,Number
19215,54.23789,11.03508,4
19216,54.24091,11.03303,5
19217,54.24269,11.03144,1
19218,54.24341,11.03106,2
19219,54.24389,11.0309,3
19220,54.24472,11.03081,4
19221,54.25337,11.03173,5
19222,54.25399,11.03202,1
19223,54.25519,11.03302,2
19224,54.25572,11.03332,3
19225,54.25611,11.03344,4
19226,54.26383,11.03373,5
19227,54.26388,11.03376,1
19228,54.26683,11.03385,2
19229,54.26686,11.03382,3
19230,54.27096,11.03386,4
19231,54.27479,11.03276,5
19232,54.27675,11.03179,1
19233,54.27697,11.03173,2
19234,54.27847,11.03163,3
19235,54.27911,11.03135,4
19236,54.27977,11.03071,5
19237,54.28044,11.02942,1
19238,54.28066,11.02862,2
19239,54.28119,11.02324,3
19240,54.28146,11.02184,4
19241,54.28173,11.02099,5
19242,54.28209,11.02022,1
19243,54.28271,11.01924,2
19244,54.28355,11.01821,3
19245,54.28429,11.01753,4
19246,54.28504,11.01706,5
19247,54.28599,11.01675,1
19248,54.28685,11.01673,2
19249,54.28752,11.01687,3
19250,54.28908,11.0175,4
19251,54.28972,11.01754,5
19252,54.29024,11.01737,1
19253,54.29057,11.01717,2
19254,54.29255,11.01521,3
19255,54.29315,11.01475,4
19256,54.29781,11.01199,5
19257,54.30022,11.01112,1
19258,54.30073,11.01074,2
19259,54.30413,11.0063,3
19260,54.30479,11.00581,4
19261,54.30519,11.00567,5
19262,54.30574,11.00565,1
19263,54.30606,11.00572,2
19264,54.30661,11.00602,3
19265,54.30718,11.00659,4
19266,54.30758,11.00721,5
19267,54.30813,11.00843,1
19268,54.30814,11.00843,2
19269,54.30913,11.01057,3
19270,54.31013,11.01187,4
19271,54.31076,11.01243,5
19272,54.31136,11.01282,1
19273,54.31749,11.01533,2
19274,54.32303,11.01865,3
19275,54.32309,11.01873,4
19276,54.32404,11.0193,5
19277,54.32398,11.01973,1
19278,54.32423,11.02042,2
19279,54.3244,11.0213,3
19280,54.32489,11.02687,4
19281,54.32507,11.02784,5
19282,54.32508,11.02784,1
19283,54.3262,11.03059,2
19284,54.32657,11.03121,3
19285,54.32675,11.0314,4
19286,54.3271,11.03157,5
19287,54.32747,11.03157,1
19288,54.33016,11.02994,2
19289,54.33044,11.03004,3
19290,54.33071,11.03026,4
19291,54.33115,11.0311,5
19292,54.33122,11.03115,1
19293,54.33142,11.03115,2
19294,54.33275,11.03042,3
19295,54.33365,11.03021,4
19296,54.33401,11.02998,5
19297,54.3343,11.0306,1
19298,54.33438,11.03101,2
19299,54.33325,11.04108,3
19300,54.33327,11.04163,4
19301,54.33368,11.04352,5
19302,54.33379,11.04377,1
19303,54.33462,11.04457,2
19304,54.33488,11.04501,3
19305,54.33496,11.04536,4
19306,54.33507,11.04716,5
19307,54.33489,11.04803,1
19308,54.33504,11.04804,2
19309,54.33513,11.0482,3
19310,54.3353,11.04956,4
19311,54.33543,11.04968,5
19312,54.33986,11.05088,1
19313,54.34435,11.04971,2
19314,54.34417,11.05038,3
19315,54.34484,11.06191,4
19316,54.34487,11.06197,5
19317,54.34495,11.06202,1
19318,54.345,11.06229,2
19319,54.34551,11.06203,3
19320,54.34587,11.06199,4
19321,54.34607,11.06183,5
19322,54.34637,11.06172,1
19323,54.34836,11.06041,2
19324,54.34879,11.06026,3
19325,54.35035,11.05914,4
19326,54.35115,11.0587,5
19327,54.35148,11.05838,1
19328,54.35189,11.05811,2
19329,54.35229,11.05794,3
19330,54.35295,11.05794,4
19331,54.35337,11.05809,5
19332,54.35447,11.05881,1
19333,54.35513,11.05939,2
19334,54.35524,11.05959,3
19335,54.35594,11.06027,4
19336,54.35628,11.06038,5
19337,54.35714,11.05998,1
19338,54.35737,11.05996,2
19339,54.35783,11.06071,3
19340,54.35792,11.06095,4
19341,54.35798,11.0616,5
19343,54.35791,11.06186,1
19344,54.35831,11.06258,2
19345,54.35846,11.06265,3
19346,54.35938,11.06256,4
19347,54.35941,11.0626,5
19348,54.35981,11.06583,1
19349,54.35986,11.06586,2
19350,54.36054,11.06561,3
19351,54.3606,11.06563,4
19352,54.3607,11.06574,5
19353,54.36149,11.06863,1
19354,54.36247,11.07138,2
19355,54.36249,11.07155,3
19356,54.36407,11.07208,4
19357,54.36401,11.07379,5
19358,54.36422,11.07487,1
19359,54.36558,11.07776,2
19360,54.36686,11.08117,3
19361,54.36744,11.08235,4
19362,54.3695,11.08423,5
19363,54.36979,11.08436,1
19364,54.37121,11.08435,2
19365,54.37324,11.08484,3
19366,54.37395,11.08487,4
19367,54.37455,11.08501,5
19368,54.37567,11.08499,1
19369,54.37786,11.08613,2
19370,54.37811,11.08643,3
19371,54.37851,11.08721,4
19372,54.37867,11.08734,5
19373,54.37887,11.08741,1
19374,54.37965,11.08725,2
19375,54.38002,11.08732,3
19376,54.38016,11.08746,4
19377,54.38018,11.08752,5
19378,54.38035,11.08747,1
19379,54.38018,11.08867,2
19380,54.38021,11.08893,3
19381,54.38197,11.09271,4
19382,54.38209,11.09284,5
19383,54.38224,11.09285,1
19384,54.38252,11.09279,2
19385,54.38257,11.09283,3
19386,54.383,11.09365,4
19387,54.38322,11.09449,5
19388,54.38374,11.09501,1
19389,54.38383,11.09505,2
19390,54.38415,11.09498,3
19391,54.38456,11.09505,4
19392,54.3881,11.09643,5
19393,54.38799,11.10194,1
19394,54.38805,11.1021,2
