type,latitude,longitude
T,58.48885,-4.41154
T,58.48826,-4.41236
T,58.48798,-4.4126
T,58.48648,-4.41338
T,58.48642,-4.4131
T,58.4863,-4.41294
T,58.48358,-4.41218
T,58.48237,-4.41168
T,58.47822,-4.40939
T,58.47595,-4.40744
T,58.47233,-4.40377
T,58.47166,-4.40331
T,58.47008,-4.40265
T,58.46768,-4.40201
T,58.46714,-4.40177
T,58.4664,-4.40123
T,58.46562,-4.40035
T,58.46549,-4.40015
T,58.46483,-4.39852
T,58.46407,-4.39571
T,58.46334,-4.39373
T,58.46281,-4.39276
T,58.45963,-4.38788
T,58.45918,-4.38742
T,58.45855,-4.38713
T,58.45793,-4.38695
T,58.45661,-4.38673
T,58.45635,-4.38674
T,58.45584,-4.38694
T,58.45542,-4.38722
T,58.45417,-4.38781
T,58.4531,-4.38816
T,58.45212,-4.38838
T,58.45056,-4.38856
T,58.44998,-4.38851
T,58.44964,-4.38843
T,58.44935,-4.3883
T,58.44862,-4.38775
T,58.44818,-4.38726
T,58.44775,-4.38663
T,58.4453,-4.38239
T,58.445,-4.38205
T,58.44468,-4.38181
T,58.44392,-4.38145
T,58.4438,-4.38148
T,58.44124,-4.38318
T,58.44102,-4.38327
T,58.44072,-4.38332
T,58.44005,-4.38353
T,58.43919,-4.38403
T,58.43774,-4.38535
T,58.43472,-4.38718
T,58.43285,-4.38889
T,58.43266,-4.38894
T,58.43256,-4.38893
T,58.43247,-4.38887
T,58.43235,-4.38874
T,58.43102,-4.38555
T,58.4307,-4.38494
T,58.43052,-4.38474
T,58.43031,-4.38463
T,58.42995,-4.38463
T,58.42935,-4.38488
T,58.42914,-4.38493
T,58.42897,-4.38489
T,58.42884,-4.3848
T,58.4287,-4.38462
T,58.42858,-4.38439
T,58.42802,-4.38169
T,58.42785,-4.38129
T,58.42689,-4.37982
T,58.42632,-4.37849
T,58.42611,-4.3782
T,58.42431,-4.37662
T,58.42264,-4.3746
T,58.42239,-4.37412
T,58.42196,-4.37285
T,58.42184,-4.37264
T,58.4216,-4.37239
T,58.42149,-4.37234
T,58.42121,-4.3723
T,58.4208,-4.37245
T,58.41997,-4.37293
T,58.41972,-4.37312
T,58.41923,-4.37363
T,58.41891,-4.37383
T,58.418,-4.37425
T,58.41645,-4.37464
