type	latitude	longitude	color	opacity	width	scale	sym	name	desc
T	58.496380000	-4.288270000							
T	58.495740000	-4.290910000							
T	58.495660000	-4.291700000							
T	58.495790000	-4.293450000							
T	58.495760000	-4.294480000							
T	58.495230000	-4.298220000							
T	58.495210000	-4.300610000							
T	58.494870000	-4.302850000							
T	58.494820000	-4.304180000							
T	58.494960000	-4.304950000							
T	58.496230000	-4.308010000							
T	58.496470000	-4.309070000							
T	58.497060000	-4.314310000							
T	58.497610000	-4.316600000							
T	58.498740000	-4.322540000							
T	58.499740000	-4.324560000							
T	58.500130000	-4.325070000							
T	58.500280000	-4.325340000							
T	58.500430000	-4.325780000							
T	58.500670000	-4.326850000							
T	58.500990000	-4.327620000							
T	58.502150000	-4.329390000							
T	58.502510000	-4.330090000							
T	58.502690000	-4.330710000							
T	58.503110000	-4.334370000							
T	58.503100000	-4.334930000							
T	58.502990000	-4.335630000							
T	58.502250000	-4.337960000							
T	58.502130000	-4.338670000							
T	58.502150000	-4.340880000							
T	58.502080000	-4.341270000							
T	58.501810000	-4.341720000							
T	58.501070000	-4.342540000							
T	58.500900000	-4.342810000							
T	58.498000000	-4.349270000							
T	58.497760000	-4.350040000							
T	58.497680000	-4.350660000							
T	58.497790000	-4.353300000							
T	58.497880000	-4.353790000							
T	58.498030000	-4.354220000							
T	58.498320000	-4.354650000							
T	58.501010000	-4.357060000							
T	58.501260000	-4.357460000							
T	58.501400000	-4.357950000							
T	58.501460000	-4.358700000							
T	58.501440000	-4.360350000							
T	58.501600000	-4.362680000							
T	58.501950000	-4.364610000							
T	58.501930000	-4.365220000							
T	58.501880000	-4.365430000							
T	58.501690000	-4.365840000							
T	58.501530000	-4.365950000							
T	58.501140000	-4.366130000							
T	58.500760000	-4.366380000							
T	58.500610000	-4.366530000							
T	58.500390000	-4.366900000							
T	58.500270000	-4.367320000							
T	58.500250000	-4.367980000							
T	58.500310000	-4.368360000							
T	58.500510000	-4.368990000							
T	58.502370000	-4.373380000							
T	58.502950000	-4.376270000							
T	58.503130000	-4.376600000							
T	58.504500000	-4.377830000							
T	58.504750000	-4.377950000							
T	58.505560000	-4.378200000							
T	58.505690000	-4.378280000							
T	58.505870000	-4.378460000							
T	58.506000000	-4.378710000							
T	58.506090000	-4.379020000							
T	58.506200000	-4.383870000							
T	58.505970000	-4.385110000							
T	58.505970000	-4.385350000							
T	58.506270000	-4.386500000							
T	58.506570000	-4.388370000							
T	58.506650000	-4.389470000							
T	58.506630000	-4.389830000							
T	58.506530000	-4.390350000							
T	58.506380000	-4.390790000							
T	58.506370000	-4.390790000							
T	58.506110000	-4.391300000							
T	58.504860000	-4.393250000							
T	58.504700000	-4.393420000							
T	58.504470000	-4.393580000							
T	58.503120000	-4.394190000							
T	58.502840000	-4.394380000							
T	58.502430000	-4.394790000							
T	58.501580000	-4.395890000							
T	58.500490000	-4.399020000							
T	58.498600000	-4.403130000							
T	58.498340000	-4.403960000							
T	58.497880000	-4.406120000							
T	58.496720000	-4.408900000							
T	58.496510000	-4.409230000							
T	58.496220000	-4.409520000							
T	58.494470000	-4.410430000							
T	58.492820000	-4.410640000							
T	58.492290000	-4.410920000							
T	58.490510000	-4.411390000							
T	58.490370000	-4.411400000							
T	58.489500000	-4.411200000							
T	58.489340000	-4.411200000							
T	58.489130000	-4.411290000							
T	58.488850000	-4.411540000							
T	58.488260000	-4.412360000							
T	58.487980000	-4.412600000							
T	58.486480000	-4.413380000							
T	58.486420000	-4.413100000							
T	58.486300000	-4.412940000							
T	58.483580000	-4.412180000							
T	58.482370000	-4.411680000							
T	58.478220000	-4.409390000							
T	58.475950000	-4.407440000							
T	58.472330000	-4.403770000							
T	58.471660000	-4.403310000							
T	58.470080000	-4.402650000							
T	58.467680000	-4.402010000							
T	58.467140000	-4.401770000							
T	58.466400000	-4.401230000							
T	58.465620000	-4.400350000							
T	58.465490000	-4.400150000							
T	58.464830000	-4.398520000							
T	58.464070000	-4.395710000							
T	58.463340000	-4.393730000							
T	58.462810000	-4.392760000							
T	58.459630000	-4.387880000							
T	58.459180000	-4.387420000							
T	58.458550000	-4.387130000							
T	58.457930000	-4.386950000							
T	58.456610000	-4.386730000							
T	58.456350000	-4.386740000							
T	58.455840000	-4.386940000							
T	58.455420000	-4.387220000							
T	58.454170000	-4.387810000							
T	58.453100000	-4.388160000							
T	58.452120000	-4.388380000							
T	58.450560000	-4.388560000							
T	58.449980000	-4.388510000							
T	58.449640000	-4.388430000							
T	58.449350000	-4.388300000							
T	58.448620000	-4.387750000							
