Index,Lat_Start,Lon_Start,Elevation,Lat_End,Lon_End,Lat_Start_Rad,Lon_Start_Rad,Lat_End_Rad,Lon_End_Rad,Distance_Km,RT_Km,PointSize
133,58.06658,-3.79545,51,58.0579,-3.80815,1.013453006,-0.066243099,1.013301512,-0.066464756,1.220500787,93.11362185,1
134,58.0579,-3.80815,62,58.05242,-3.81506,1.013301512,-0.066464756,1.013205868,-0.066585358,0.73251601,93.84613786,1
135,58.05242,-3.81506,23,58.04448,-3.82387,1.013205868,-0.066585358,1.013067289,-0.066739122,1.02384116,94.86997902,1
136,58.04448,-3.82387,15,58.03805,-3.83501,1.013067289,-0.066739122,1.012955064,-0.066933551,0.970098809,95.84007783,1
137,58.03805,-3.83501,8,58.03639,-3.83808,1.012955064,-0.066933551,1.012926091,-0.066987133,0.258315823,96.09839365,1
138,58.03639,-3.83808,11,58.02874,-3.85218,1.012926091,-0.066987133,1.012792574,-0.067233224,1.188536363,97.28693002,1
139,58.02874,-3.85218,12,58.02394,-3.85748,1.012792574,-0.067233224,1.012708798,-0.067325727,0.618272526,97.90520254,1
140,58.02394,-3.85748,18,58.01167,-3.85306,1.012708798,-0.067325727,1.012494646,-0.067248583,1.388973512,99.29417605,1
141,58.01167,-3.85306,11,58.00592,-3.86406,1.012494646,-0.067248583,1.01239429,-0.067440569,0.910335093,100.2045111,1
142,58.00592,-3.86406,22,58.0038,-3.87013,1.01239429,-0.067440569,1.012357289,-0.067546511,0.428326708,100.6328379,1
143,58.0038,-3.87013,26,57.99559,-3.8893,1.012357289,-0.067546511,1.012213997,-0.067881091,1.452369383,102.0852072,1
144,57.99559,-3.8893,32,57.98878,-3.89826,1.012213997,-0.067881091,1.01209514,-0.068037472,0.923186961,103.0083942,1
145,57.98878,-3.89826,39,57.9876,-3.91356,1.01209514,-0.068037472,1.012074545,-0.068304507,0.911334666,103.9197289,1
146,57.9876,-3.91356,23,57.98299,-3.95637,1.012074545,-0.068304507,1.011994086,-0.069051683,2.575122773,106.4948516,1
147,57.98299,-3.95637,51,57.98076,-3.95702,1.011994086,-0.069051683,1.011955165,-0.069063028,0.250908209,106.7457598,1
148,57.98076,-3.95702,45,57.9788,-3.9628,1.011955165,-0.069063028,1.011920956,-0.069163908,0.404507507,107.1502674,1
149,57.9788,-3.9628,25,57.9758,-3.96641,1.011920956,-0.069163908,1.011868596,-0.069226914,0.39570778,107.5459751,1
150,57.9758,-3.96641,12,57.97182,-3.98007,1.011868596,-0.069226914,1.011799132,-0.069465326,0.919063663,108.4650388,1
151,57.97182,-3.98007,8,57.97254,-3.98396,1.011799132,-0.069465326,1.011811699,-0.069533219,0.242963262,108.7080021,1
