X,Y,OBJECTID,ACCIDENT_INDEX,POLICE_FORCE,ACCIDENT_SEVERITY,NUMBER_OF_VEHICLES,NUMBER_OF_CASUALTIES,DATE_,DAY_OF_WEEK,TIME,LOCAL_AUTHORITY__DISTRICT_,LOCAL_AUTHORITY__HIGHWAY_,ROAD_TYPE,SPEED_LIMIT,JUNCTION_DETAIL,JUNCTION_CONTROL,PEDESTRIAN_CROSSING_HUMAN_CONT,PEDESTRIAN_CROSSING_PHYSICAL_F,LIGHT_CONDITIONS,WEATHER_CONDITIONS,ROAD_SURFACE_CONDITIONS,SPECIAL_CONDITIONS_AT_SITE,CARRIAGEWAY_HAZARDS,URBAN_OR_RURAL_AREA,DID_POLICE_OFFICER_ATTEND_SCEN,LOCATION_EASTING_OSGR,LOCATION_NORTHING_OSGR,LONGITUDE,LATITUDE,CASUALITY_TYPE,FIRST_ROAD_CLASS,FIRST_ROAD_NUMBER,SECOND_ROAD_CLASS,SECOND_ROAD_NUMBER
-4.257704827,55.85633002,47,201497AB01610,Police Scotland,Slight,1,1,2014/10/19 00:00:00+00,Sunday,1900/01/01 19:35:00+00,Glasgow,Glasgow,Single carriageway,30,Crossroads,Auto traffic signal,None within 50 metres ,Pedestrian phase at traffic signal junction,Darkness - lights lit,Fine + high winds,Wet or damp,None,None,Urban,Yes,258780,664871,-4.257705,55.85633,,A,814,A,77
-4.255659814,55.86460903,48,201497AB01703,Police Scotland,Serious,1,1,2014/03/19 00:00:00+00,Wednesday,1900/01/01 16:00:00+00,Glasgow,Glasgow,Single carriageway,30,Not at junction or within 20 metres,Data missing or out of range,None within 50 metres ,Pedestrian phase at traffic signal junction,Daylight,Fine + high winds,Wet or damp,None,None,Urban,Yes,258938,665788,-4.25566,55.864609,,Unclassified,0,,0
-4.259699826,55.85655402,49,201497AB01704,Police Scotland,Slight,1,1,2014/04/21 00:00:00+00,Monday,1900/01/01 15:40:00+00,Glasgow,Glasgow,Dual carriageway,30,More than 4 arms (not roundabout),Auto traffic signal,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,258656,664900,-4.2597,55.856554,,Unclassified,0,Unclassified,0
-4.257826824,55.86063303,50,201497AB01710,Police Scotland,Slight,1,1,2014/10/21 00:00:00+00,Tuesday,1900/01/01 11:45:00+00,Glasgow,Glasgow,Single carriageway,30,Not at junction or within 20 metres,Data missing or out of range,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,No,258788,665350,-4.257827,55.860633,,Unclassified,0,,0
-4.248300819,55.86309903,51,201497AB01803,Police Scotland,Slight,2,1,2014/03/20 00:00:00+00,Thursday,1900/01/01 19:00:00+00,Glasgow,Glasgow,Single carriageway,30,Crossroads,Auto traffic signal,None within 50 metres ,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",Darkness - lights lit,Fine no high winds,Wet or damp,None,None,Urban,Yes,259393,665605,-4.248301,55.863099,,Unclassified,0,Unclassified,0
-4.24823783,55.85980202,52,201497AB01806,Police Scotland,Slight,1,1,2014/06/18 00:00:00+00,Wednesday,1900/01/01 12:30:00+00,Glasgow,Glasgow,One way street,30,Not at junction or within 20 metres,Data missing or out of range,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,No,259385,665238,-4.248238,55.859802,,Unclassified,0,,0
-4.23862682,55.86023802,53,201497AB01906,Police Scotland,Serious,2,1,2014/06/24 00:00:00+00,Tuesday,1900/01/01 17:20:00+00,Glasgow,Glasgow,Dual carriageway,30,Not at junction or within 20 metres,Data missing or out of range,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,259988,665267,-4.238627,55.860238,,Unclassified,0,,0
-4.250617813,55.86889903,54,201497AB01907,Police Scotland,Slight,2,1,2014/07/15 00:00:00+00,Tuesday,1900/01/01 17:59:00+00,Glasgow,Glasgow,Single carriageway,30,Crossroads,Auto traffic signal,None within 50 metres ,Pedestrian phase at traffic signal junction,Daylight,Raining no high winds,Wet or damp,None,None,Urban,No,259269,666255,-4.250618,55.868899,,Unclassified,0,Unclassified,0
-4.266004814,55.86878703,55,201497AB01909,Police Scotland,Slight,2,1,2014/09/23 00:00:00+00,Tuesday,1900/01/01 15:30:00+00,Glasgow,Glasgow,Single carriageway,30,T or staggered junction,Auto traffic signal,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,No,258306,666274,-4.266005,55.868787,,A,82,Motorway,8
-4.252394833,55.85871902,56,201497AB02005,Police Scotland,Slight,2,1,2014/05/30 00:00:00+00,Friday,1900/01/01 00:01:00+00,Glasgow,Glasgow,One way street,30,Not at junction or within 20 metres,Data missing or out of range,None within 50 metres ,No physical crossing facilities within 50 metres,Darkness - lights lit,Fine no high winds,Dry,None,None,Urban,Yes,259121,665126,-4.252395,55.858719,,Unclassified,0,,0
